,AP,ip_migration,ip_total,migration,ti_migration,yn,share,ip_share,title_share
0,AR1,2,1687,7,0,264,2.6515151515151514,0.11855364552459988,0.0
1,AR2,7,6585,105,12,5801,1.810032752973625,0.10630220197418376,0.20686088605412858
2,AR3,28,14029,264,25,16750,1.5761194029850747,0.1995865706750303,0.1492537313432836
3,AR4,42,16635,757,133,40141,1.88585237039436,0.25247971145175835,0.3313320545078598
4,AR5,185,34632,2271,448,101654,2.234048832313534,0.5341880341880342,0.44071064591654047
5,AR6,0,0,2538,542,124708,2.035154120024377,,0.4346152612502807
