,docdynamictopic__topic__title,tscore,x1,x2,y1,y2,proportion
0,"{ozon, stratospher, tropospher}",169.152741072205,-20.0,-15.0,-5.0,0.0,0.44020455759693944
1,"{increas, concentr, decreas}",13.2805259830459,-20.0,-15.0,-5.0,0.0,0.03456135577800585
2,"{climat, chang, impact}",12.6866799706293,-20.0,-15.0,-5.0,0.0,0.033015925774805555
3,"{emiss, reduct, reduc}",10.3093106037487,-20.0,-15.0,-5.0,0.0,0.026829039155300726
4,"{aerosol, cloud, radiat}",9.84998062464499,-20.0,-15.0,-5.0,0.0,0.025633674841600076
5,"{atmospher, surfac, observ}",8.90361631527883,-20.0,-15.0,-5.0,0.0,0.023170848170927117
6,"{trend, station, signific}",7.60175447492864,-20.0,-15.0,-5.0,0.0,0.019782871648341156
7,"{model, simul, predict}",7.34247181571658,-20.0,-15.0,-5.0,0.0,0.01910811221158877
8,"{temperatur, air, mean}",7.20339706615597,-20.0,-15.0,-5.0,0.0,0.018746182879464616
9,"{sst, pacif, atlant}",6.37416662245779,-20.0,-15.0,-5.0,0.0,0.01658818639474757
10,"{data, use, method}",6.11146648927136,-20.0,-15.0,-5.0,0.0,0.01590453329414173
11,"{scenario, futur, simul}",5.26820538270389,-20.0,-15.0,-5.0,0.0,0.013710023290920534
12,"{solar, radiat, irradi}",5.11076720048832,-20.0,-15.0,-5.0,0.0,0.013300304802696405
13,"{wind, speed, wave}",4.6856444538372,-20.0,-15.0,-5.0,0.0,0.012193961686837179
14,"{elev, ambient, leaf}",4.67173579762378,-20.0,-15.0,-5.0,0.0,0.012157765679510388
15,"{year, period, annual}",4.61937846854909,-20.0,-15.0,-5.0,0.0,0.012021510513107599
16,"{lake, level, diatom}",4.32414482498512,-20.0,-15.0,-5.0,0.0,0.011253191923476622
17,"{variabl, spatial, scale}",4.21518937534142,-20.0,-15.0,-5.0,0.0,0.010969645318176818
18,"{ice, sheet, arctic}",4.16311822037049,-20.0,-15.0,-5.0,0.0,0.010834134893738852
