,distance,journal_entropy,kw_entroy,oecd_entroy,path,topic_id,wc_entropy,wg_entropy,topic__title
0,215.2767116606129,-1.3862943611198906,-2448.806660478783,-42.97512519471658,4.42952208106473,11711,-1.3862943611198906,-1.3862943611198906,"{concentration, nutrient, nitrogen}"
1,40.24818527484106,-0.0,-4239.871872978831,-30.498475944637594,4.946845794392523,11713,-0.0,-0.0,"{price, electricity, market}"
2,54.93570216432703,-4609.428750723523,-73712.32527440731,-5162.560200810471,3.110294117647059,11751,-4802.123666919236,-5198.000660128755,"{sst, pacific, enso}"
3,174.63187522651154,-0.0,-3690.403159898346,-44.36141955583647,4.828737300435414,11763,-0.0,-4.68213122712422,"{gas, hydrate, pressure}"
4,175.3886841914591,-2.772588722239781,-6863.691421033033,-159.42385152878757,5.0677555958862675,11767,-8.317766166719343,-28.24913536616236,"{heat, wave, stress}"
5,68.02739804964192,-3109.458251991752,-66791.24965429502,-3202.339974186783,3.668400520156047,11769,-3160.751143353184,-3254.706463902501,"{vegetation, ndvi, grassland}"
6,122.13216631968002,-0.0,-9269.053912307507,-56.838068805915455,3.7261904761904763,11776,-0.0,-29.29563165369146,"{drought, index, severe}"
7,66.65900311923221,-2452.3547248209757,-34654.02778019197,-3030.439473407963,3.4404040404040406,11779,-2653.367407183344,-3042.4746696520547,"{ocean, circulation, deep}"
8,102.78792995337784,-914.9542783391299,-13180.42400591552,-1129.8299043127065,5.192454893384363,11728,-1054.9700088122368,-914.9542783391299,"{method, approach, propose}"
9,110.83646777757052,-0.0,-11172.436070125554,-47.134008278076244,3.4071919619249074,11708,-0.0,-4.1588830833596715,"{cal, pollen, holocene}"
10,31.443732080850975,-2930.6262794073004,-50180.87695158768,-3246.7013937426277,4.241758241758242,11752,-3047.075005741362,-3129.7657183329748,"{methane, oxidation, source}"
11,59.7920161484402,-1402.9298934533017,-26923.043557161178,-1651.0765840937509,3.610960144927536,11753,-1509.6745592595248,-1748.6718324601352,"{adaptation, local, mitigation}"
12,111.40702791797001,-472.7263771418837,-10414.84806168112,-500.4522643642816,4.140589569160998,11793,-489.3619094753224,-478.27155458636327,"{year, period, annual}"
13,193.5261119269613,-0.0,-10214.615074858495,-58.22436316703534,4.864795918367347,11794,-2.772588722239781,-14.386191754963455,"{plant, power, grow}"
14,111.40835082103366,-723.6456565045845,-11483.54550377109,-758.3030155325819,3.8104993597951347,11796,-738.8948944769033,-881.370517665418,"{climate, future, global}"
15,87.68588311993747,-1.3862943611198906,-4874.719648568748,-56.838068805915455,4.651764705882353,11707,-1.3862943611198906,-1.3862943611198906,"{material, waste, concrete}"
16,96.24329147385954,-0.0,-3448.4604051799374,-101.19948836175203,3.613095238095238,11712,-0.0,-1.3862943611198906,"{vulnerability, index, vulnerable}"
17,97.19094999852423,-0.0,-3094.534238820527,-37.429947750237034,3.9921355111917727,11717,-0.0,-0.0,"{country, income, gdp}"
18,40.04019211367759,-1714.8461247052524,-37786.2358853611,-1861.7933269839532,4.40936170212766,11765,-1798.0237863724392,-1731.4816570386906,"{biomass, stand, ground}"
19,149.17093204757177,-0.0,-2101.601413788044,-26.33959286127792,4.044444444444444,11766,-0.0,-3.295836866004329,"{season, winter, summer}"
20,216.9196285964371,-0.0,-13024.742153116184,-117.83502069519076,4.347780126849894,11804,-0.0,-52.097815081153314,"{co2, mol, concentration}"
21,155.9330971587204,-0.0,-4931.741167444855,-48.52030263919613,4.083299798792757,11805,-0.0,-129.11802265574718,"{model, simulation, simulate}"
22,128.8088732441038,-2548.0090357382405,-52965.275255724635,-2624.2552255998294,3.896575821104123,11736,-2610.3922819886307,-2633.418132918572,"{rice, paddy, field}"
23,20.085710873304997,-1294.7989332859588,-22452.43600149407,-1499.9704987316904,4.990147783251231,11781,-1419.565425786739,-1300.344110730438,"{energy, source, supply}"
24,82.55907009936972,-2.772588722239781,-11617.924397246688,-77.63248422271383,3.7135306553911205,11784,-2.772588722239781,-23.819675678253848,"{n2o, denitrification, nitrous-oxide}"
25,56.338930235440415,-0.0,-9135.752837105932,-230.1248639459022,3.77037037037037,11785,-0.0,-234.44537366997767,"{ice, sheet, sea}"
26,144.1183107613446,-0.0,-247.99034263704374,-2.772588722239781,4.274745605920444,11786,-0.0,-0.0,"{data, use, estimate}"
27,120.14731867476532,-112.28984325071119,-2490.2057768451405,-130.3116699452698,4.133276010318142,11764,-121.99390377855045,-112.28984325071119,"{effect, treatment, affect}"
28,27.978671095378797,-3019.349118518967,-52130.48506433553,-3499.006967466437,5.240404040404041,11770,-3268.882103520528,-3161.824741707477,"{cost, benefit, economic}"
29,193.17591250084345,-1.3862943611198906,-4057.566877855288,-23.56700413903814,4.435431235431236,11740,-1.3862943611198906,-5.545177444479562,"{site, elevation, across}"
30,116.24464640037277,-0.0,-3214.693641897328,-85.9502503894332,3.7617715617715617,11795,-0.0,-104.78619780513273,"{sea, level, rise}"
31,178.74849699709432,-2.772588722239781,-19151.56289484217,-27.725887222397812,3.989830508474576,11797,-2.772588722239781,-66.0459832567469,"{forest, stand, disturbance}"
32,88.44026964005037,-4710.6282390853,-87645.51964719976,-4990.65970003158,4.024041585445095,11783,-4810.441433085957,-4841.6737093112915,"{ch4, oxidation, rate}"
33,105.38518719152992,-0.0,-4499.951127056037,-38.81624211135692,3.7615429573348917,11775,-0.0,-82.3417175165948,"{trend, station, significant}"
34,68.22893175359793,-359.05023953005235,-7501.7683005607505,-379.84465494685077,4.1493027071369974,11777,-368.7543000578916,-359.05023953005235,"{scale, spatial, pattern}"
