dis_share,doctopic__doc__wc__oecd,primary_wg,title,dis_share_pre,dis_share_post
98.6097805676742,Agricultural Sciences,2,"indices, indices, correlation and relationships",45.1680473623377,53.4417332053365
185.60629726638,Engineering and Technology,2,"indices, indices, correlation and relationships",73.1028075697664,112.503489696614
2.18428401254972,Humanities,2,"indices, indices, correlation and relationships",0.756984580162513,1.42729943238721
13.9036998481209,Medical and Health Sciences,2,"indices, indices, correlation and relationships",5.62060858953709,8.28304063786158
655.278079604572,Natural Sciences,2,"indices, indices, correlation and relationships",310.473621369306,344.804458235259
70.9405528785952,Social Sciences,2,"indices, indices, correlation and relationships",22.327029402129,48.613523476466
1.54325804875854,,2,"indices, indices, correlation and relationships",0.280145562882195,1.26311248587634
20.8467854638736,Agricultural Sciences,3,"energy, energy",11.983053472003,8.86373199187066
300.038712022156,Engineering and Technology,3,"energy, energy",141.514522242529,158.522685116015
3.18618329897495,Humanities,3,"energy, energy",1.60678177723818,1.57940152173677
2.18011389863978,Medical and Health Sciences,3,"energy, energy",1.19647979501864,0.98363410362113
143.422493837837,Natural Sciences,3,"energy, energy",66.6463908712252,76.7761029666122
59.9446479524945,Social Sciences,3,"energy, energy",25.85219034368,34.0924576088145
1.69731617754545,,3,"energy, energy",0.331520041384469,1.36579613616098
244.183874838092,Agricultural Sciences,2,"soil, soil moisture and organic matter",139.32034513654,104.863529701552
49.5750722685731,Engineering and Technology,2,"soil, soil moisture and organic matter",24.4510374542332,25.1240104555408
0.718161585107052,Humanities,2,"soil, soil moisture and organic matter",0.328729123589777,0.389432461517275
1.09930829351957,Medical and Health Sciences,2,"soil, soil moisture and organic matter",0.507072055439867,0.592236238079708
379.96980964153,Natural Sciences,2,"soil, soil moisture and organic matter",201.188617395453,178.781192246075
9.68519571039431,Social Sciences,2,"soil, soil moisture and organic matter",3.83996974397275,5.84522596642156
0.133477819141039,,2,"soil, soil moisture and organic matter",0.0147595100335604,0.118718309107479
45.3759916599359,Agricultural Sciences,1,"CO2, CO2",29.4776217483398,15.8983699115962
196.184304202004,Engineering and Technology,1,"CO2, CO2",97.6057012818144,98.5773649509699
0.391512531897537,Humanities,1,"CO2, CO2",0.163036885344035,0.228475646553502
1.54956269391372,Medical and Health Sciences,1,"CO2, CO2",0.850771346854769,0.698617644387291
284.346651702741,Natural Sciences,1,"CO2, CO2",159.920563551767,124.426088150977
10.6873936961133,Social Sciences,1,"CO2, CO2",4.99378169904295,5.69361199707033
0.43494780901541,,1,"CO2, CO2",0.120908624412148,0.314039184603262
50.0832835842681,Agricultural Sciences,2,"species, species",24.0608441160924,26.0224394681757
15.5576134323254,Engineering and Technology,2,"species, species",7.42211435484129,8.13523350864986
0.899075988859461,Humanities,2,"species, species",0.246865633017184,0.652210355842276
6.00886323664704,Medical and Health Sciences,2,"species, species",2.68510540106483,3.32359697198167
381.705480889733,Natural Sciences,2,"species, species",190.454900243441,191.250580646292
7.64810120587309,Social Sciences,2,"species, species",3.46564224602332,4.18245895984978
0.0516564302733968,,2,"species, species",0.00625761412448077,0.045398816148916
59.6970866037891,Agricultural Sciences,2,"water, water resources",30.4228721518106,29.2742144519782
117.458345039035,Engineering and Technology,2,"water, water resources",53.7787076885743,63.6680229118231
1.50993703423963,Humanities,2,"water, water resources",0.614333407236227,0.895603627003405
3.83291768219975,Medical and Health Sciences,2,"water, water resources",1.98394258321664,1.84897509898311
387.483039858753,Natural Sciences,2,"water, water resources",196.52309159842,190.959948260335
26.4348650039177,Social Sciences,2,"water, water resources",10.8051749561789,15.6296900477387
0.656601738455016,,2,"water, water resources",0.0516040315605912,0.604997706894424
306.313073916654,Agricultural Sciences,3,"emissions, emissions",173.372778024723,132.940295891932
935.01361816143,Engineering and Technology,3,"emissions, emissions",473.412693769355,461.574697044517
7.74240915384521,Humanities,3,"emissions, emissions",3.77674397025442,3.9656651835908
13.984043523422,Medical and Health Sciences,3,"emissions, emissions",7.17155746726361,6.77252961387213
1032.42396970473,Natural Sciences,3,"emissions, emissions",536.481930351127,495.942039353606
323.778930861991,Social Sciences,3,"emissions, emissions",152.541070589116,171.237860272874
5.2339615655205,,3,"emissions, emissions",0.965330146822917,4.26863141869758
96.1651095877018,Agricultural Sciences,2,"forests, forests",50.0265332887728,46.1385762989288
29.2398597132053,Engineering and Technology,2,"forests, forests",14.7868405251347,14.4528653518052
0.714376713463564,Humanities,2,"forests, forests",0.188176980365148,0.526199733098416
1.08177230160328,Medical and Health Sciences,2,"forests, forests",0.41695515441338,0.664684245927925
227.382545571616,Natural Sciences,2,"forests, forests",122.083477253386,105.29906831823
15.719482397649,Social Sciences,2,"forests, forests",6.32952560757877,9.38995679007024
0.145032097299061,,2,"forests, forests",0.018250289667846,0.126781807631215
66.7123545295109,Agricultural Sciences,1,"N2O, N2O emissions and nitrogen cycle",36.8755315248516,29.8368230046593
28.1959575503179,Engineering and Technology,1,"N2O, N2O emissions and nitrogen cycle",14.4145822568896,13.7813752934282
0.0419075254085981,Humanities,1,"N2O, N2O emissions and nitrogen cycle",0.0151745197390761,0.026733005669522
0.448237496505975,Medical and Health Sciences,1,"N2O, N2O emissions and nitrogen cycle",0.228341972317808,0.219895524188168
100.87263802637,Natural Sciences,1,"N2O, N2O emissions and nitrogen cycle",53.1509052283955,47.7217327979746
1.51343988766079,Social Sciences,1,"N2O, N2O emissions and nitrogen cycle",0.501813530992839,1.01162635666795
0.0509618079800614,,1,"N2O, N2O emissions and nitrogen cycle",0.00666499321940338,0.044296814760658
