,docdynamictopic__topic__title,tscore,x1,x2,y1,y2,proportion
0,"{ice, sheet, sea}",201.779147635823,-20.0,-15.0,-5.0,0.0,0.28995173641763544
1,"{cal, holocene, late}",45.1515508202979,-20.0,-15.0,-5.0,0.0,0.06488168235264283
2,"{arctic, warm, tundra}",44.8718876116305,-20.0,-15.0,-5.0,0.0,0.06447981311136923
3,"{glacier, mass, balance}",44.3834366393741,-20.0,-15.0,-5.0,0.0,0.06377792092270643
4,"{sea, level, coastal}",36.3443054957835,-20.0,-15.0,-5.0,0.0,0.05222588464103785
5,"{sea, level, rise}",24.9535416258487,-20.0,-15.0,-5.0,0.0,0.03585763350157025
6,"{record, glacial, last}",17.9125358155111,-20.0,-15.0,-5.0,0.0,0.025739879091591766
7,"{model, simulation, simulate}",17.7480937574157,-20.0,-15.0,-5.0,0.0,0.025503579846384797
8,"{ocean, circulation, deep}",16.9019446699561,-20.0,-15.0,-5.0,0.0,0.02428768415026505
9,"{climate, future, regional}",13.769628098227,-20.0,-15.0,-5.0,0.0,0.01978662128215456
10,"{pollen, modern, reconstruction}",11.3183253697597,-20.0,-15.0,-5.0,0.0,0.016264158773356668
11,"{lake, diatom, level}",10.9371969251696,-20.0,-15.0,-5.0,0.0,0.015716486451405432
12,"{snow, cover, depth}",10.7111522443072,-20.0,-15.0,-5.0,0.0,0.015391665732852715
13,"{temperature, air, warm}",10.4036508683529,-20.0,-15.0,-5.0,0.0,0.01494979372103472
14,"{year, period, annual}",8.52877272856148,-20.0,-15.0,-5.0,0.0,0.012255639351896747
15,"{change, response, shift}",7.77689064803124,-20.0,-15.0,-5.0,0.0,0.011175203056147706
16,"{water, irrigation, groundwater}",7.66497530510856,-20.0,-15.0,-5.0,0.0,0.011014383425415728
17,"{trend, station, significant}",7.32081394743743,-20.0,-15.0,-5.0,0.0,0.010519831909890946
18,"{permafrost, arctic, thaw}",6.98712275922619,-20.0,-15.0,-5.0,0.0,0.010040325773688318
19,"{enso, pacific, variability}",6.65457117543763,-20.0,-15.0,-5.0,0.0,0.0095624572213741
20,"{sediment, carbonate, basin}",5.92587516318941,-20.0,-15.0,-5.0,0.0,0.008515338742841747
21,"{sst, anomaly, tropical}",5.56689192486353,-20.0,-15.0,-5.0,0.0,0.007999488544657365
22,"{degree, day, warm}",5.47112789860231,-20.0,-15.0,-5.0,0.0,0.007861877963850971
23,"{concentration, nutrient, doc}",5.24342779137158,-20.0,-15.0,-5.0,0.0,0.00753467843779692
24,"{data, estimate, use}",4.94455202807879,-20.0,-15.0,-5.0,0.0,0.007105201221963416
25,"{winter, season, summer}",4.60603124986167,-20.0,-15.0,-5.0,0.0,0.00661875508217371
