,docdynamictopic__topic__title,tscore,x1,x2,y1,y2,proportion
0,"{vehicle, road, car}",49.796059175479,-20.0,-15.0,0.0,5.0,0.6473483248747627
1,"{emission, greenhouse-gas, reduction}",4.3442961753993,-20.0,-15.0,0.0,5.0,0.05647581150938583
2,"{fuel, engine, combustion}",2.3889774737658,-20.0,-15.0,0.0,5.0,0.03105668583845233
3,"{network, design, propose}",1.91526341261256,-20.0,-15.0,0.0,5.0,0.024898407271135944
4,"{price, market, electricity}",1.83734301940991,-20.0,-15.0,0.0,5.0,0.023885442854904446
5,"{cost, benefit, economic}",1.43178843044551,-20.0,-15.0,0.0,5.0,0.018613236817751667
6,"{technology, cc, development}",1.37782257744069,-20.0,-15.0,0.0,5.0,0.017911681210308925
7,"{model, simulation, simulate}",1.08424572933799,-20.0,-15.0,0.0,5.0,0.014095184805009452
8,"{scenario, future, impact}",0.966180104822161,-20.0,-15.0,0.0,5.0,0.012560332739983979
9,"{city, plan, smart}",0.920355506475815,-20.0,-15.0,0.0,5.0,0.011964613370444521
10,"{energy, source, supply}",0.866038730088572,-20.0,-15.0,0.0,5.0,0.011258495762162106
11,"{policy, government, national}",0.767666647161036,-20.0,-15.0,0.0,5.0,0.009979659562028823
12,"{china, province, industry}",0.762398040850171,-20.0,-15.0,0.0,5.0,0.009911167727007418
13,"{system, performance, control}",0.761393540373337,-20.0,-15.0,0.0,5.0,0.00989810922977327
14,"{power, electricity, grid}",0.757657272007603,-20.0,-15.0,0.0,5.0,0.009849537774363171
15,"{urban, urbanization, rural}",0.633194250491487,-20.0,-15.0,0.0,5.0,0.008231519605427734
16,"{method, use, analysis}",0.587199739801888,-20.0,-15.0,0.0,5.0,0.007633591376942374
17,"{co2, mol, carbon-dioxide}",0.476664372588646,-20.0,-15.0,0.0,5.0,0.006196632589646519
18,"{production, product, lca}",0.423426072388794,-20.0,-15.0,0.0,5.0,0.005504535162175293
19,"{year, period, annual}",0.37970747711997,-20.0,-15.0,0.0,5.0,0.004936193813848531
20,"{material, waste, concrete}",0.359338230365007,-20.0,-15.0,0.0,5.0,0.004671393787819983
21,"{gas, methane, hydrate}",0.309692308077959,-20.0,-15.0,0.0,5.0,0.0040259972411549215
22,"{data, use, estimate}",0.294493051829781,-20.0,-15.0,0.0,5.0,0.003828407045574839
23,"{project, future, projection}",0.291469680650189,-20.0,-15.0,0.0,5.0,0.003789103247222312
24,"{carbon, low, sink}",0.273816095712454,-20.0,-15.0,0.0,5.0,0.0035596068005817197
25,"{research, social, environmental}",0.230641219539157,-20.0,-15.0,0.0,5.0,0.002998333795644371
26,"{wind, speed, wave}",0.207489999580597,-20.0,-15.0,0.0,5.0,0.0026973681427968667
27,"{scale, spatial, large}",0.204197972904862,-20.0,-15.0,0.0,5.0,0.0026545718253921055
28,"{uncertainty, estimate, projection}",0.195811910761899,-20.0,-15.0,0.0,5.0,0.002545553092375256
29,"{change, response, shift}",0.147858718216815,-20.0,-15.0,0.0,5.0,0.0019221620172489087
30,"{degree, day, warm}",0.14416480009204,-20.0,-15.0,0.0,5.0,0.0018741411145933196
31,"{population, genetic, gene}",0.132219758596149,-20.0,-15.0,0.0,5.0,0.0017188556817506278
32,"{ice, sheet, sea}",0.124753702620581,-20.0,-15.0,0.0,5.0,0.00162179702069929
33,"{coal, combustion, gasification}",0.105747653953481,-20.0,-15.0,0.0,5.0,0.001374718557647057
34,"{trend, station, significant}",0.101602328294757,-20.0,-15.0,0.0,5.0,0.0013208293610787317
35,"{sea, level, rise}",0.0947433838008019,-20.0,-15.0,0.0,5.0,0.0012316631438701769
36,"{storage, reservoir, injection}",0.0856184833304449,-20.0,-15.0,0.0,5.0,0.0011130395191909913
37,"{growth, rate, response}",0.0837116784198253,-20.0,-15.0,0.0,5.0,0.0010882510723702755
0,"{wetland, marsh, peat}",218.768504094796,-15.0,-10.0,-10.0,-5.0,0.26138730998960363
1,"{material, waste, concrete}",112.932676089431,-15.0,-10.0,-10.0,-5.0,0.13493335585524896
2,"{technology, cc, development}",32.1386585798186,-15.0,-10.0,-10.0,-5.0,0.0383996661110456
3,"{fuel, engine, combustion}",23.956526451063,-15.0,-10.0,-10.0,-5.0,0.028623553612748317
4,"{emission, greenhouse-gas, reduction}",22.0418332550738,-15.0,-10.0,-10.0,-5.0,0.026335854540041996
5,"{soil, content, microbial}",17.5527749874958,-15.0,-10.0,-10.0,-5.0,0.02097227229220454
6,"{vehicle, road, car}",14.489676443688,-15.0,-10.0,-10.0,-5.0,0.01731244432971111
7,"{water, deep, vapor}",12.5409141804019,-15.0,-10.0,-10.0,-5.0,0.014984039114722385
8,"{ecosystem, grassland, net}",11.3308805477747,-15.0,-10.0,-10.0,-5.0,0.013538275989275773
9,"{sea, level, rise}",11.2574445476369,-15.0,-10.0,-10.0,-5.0,0.013450533749542314
10,"{habitat, fish, conservation}",11.1406166931394,-15.0,-10.0,-10.0,-5.0,0.013310946386428444
11,"{ch4, methane, oxidation}",10.7605595018063,-15.0,-10.0,-10.0,-5.0,0.012856849361375348
12,"{co2, mol, carbon-dioxide}",10.0621324843868,-15.0,-10.0,-10.0,-5.0,0.012022360136965608
13,"{project, future, projection}",9.92403998708996,-15.0,-10.0,-10.0,-5.0,0.011857365516064757
14,"{river, flow, discharge}",9.23786435385945,-15.0,-10.0,-10.0,-5.0,0.01103751439676096
15,"{carbon, low, sink}",9.14944387310254,-15.0,-10.0,-10.0,-5.0,0.01093186851455928
16,"{method, use, analysis}",9.03192941249407,-15.0,-10.0,-10.0,-5.0,0.010791460785985989
17,"{energy, source, supply}",8.68149351104146,-15.0,-10.0,-10.0,-5.0,0.010372755643838157
18,"{production, product, lca}",7.71600619525875,-15.0,-10.0,-10.0,-5.0,0.009219179477352277
19,"{flux, measurement, surface}",7.69823697673845,-15.0,-10.0,-10.0,-5.0,0.009197948595654488
20,"{research, social, environmental}",7.6421676943965,-15.0,-10.0,-10.0,-5.0,0.00913095632478327
21,"{plant, stress, grow}",7.55596771840676,-15.0,-10.0,-10.0,-5.0,0.009027963529095628
22,"{model, simulation, simulate}",7.35764868946481,-15.0,-10.0,-10.0,-5.0,0.008791009504523497
23,"{community, diversity, composition}",7.32680637625327,-15.0,-10.0,-10.0,-5.0,0.008754158727865408
24,"{scenario, future, impact}",6.82724934241278,-15.0,-10.0,-10.0,-5.0,0.008157281815431206
25,"{scale, spatial, large}",6.72868856976985,-15.0,-10.0,-10.0,-5.0,0.008039520187274399
26,"{system, performance, control}",6.71635275303111,-15.0,-10.0,-10.0,-5.0,0.008024781201115464
27,"{change, response, shift}",6.66245239453198,-15.0,-10.0,-10.0,-5.0,0.00796038038723296
28,"{land, surface, agricultural}",6.585163147725,-15.0,-10.0,-10.0,-5.0,0.007868034240800268
29,"{site, elevation, across}",6.3666540506319,-15.0,-10.0,-10.0,-5.0,0.007606956873499382
30,"{area, region, study}",6.35584972027472,-15.0,-10.0,-10.0,-5.0,0.0075940477261795345
31,"{building, construction, design}",6.35334910380349,-15.0,-10.0,-10.0,-5.0,0.00759105995874274
32,"{lake, diatom, level}",6.31997720286378,-15.0,-10.0,-10.0,-5.0,0.007551186799432338
33,"{specie, distribution, range}",6.22142353875816,-15.0,-10.0,-10.0,-5.0,0.007433433664643682
34,"{vegetation, ndvi, index}",6.21922062471233,-15.0,-10.0,-10.0,-5.0,0.007430801595740709
35,"{storage, reservoir, injection}",5.72411016269003,-15.0,-10.0,-10.0,-5.0,0.006839237502220004
