dis_share,doctopic__doc__wc__oecd,primary_wg,title
70.3942781667084,Agricultural Sciences,2,"{rate, litter, decomposition}"
17.8330196027986,Agricultural Sciences,1,"{record, glacial, late}"
73.5048673601519,Agricultural Sciences,2,"{research, social, issue}"
77.7580538755217,Agricultural Sciences,2,"{rice, paddy, field}"
35.7827110138221,Agricultural Sciences,2,"{risk, disaster, vulnerability}"
15.4165134363656,Agricultural Sciences,2,"{river, basin, flow}"
64.1019478810659,Agricultural Sciences,2,"{root, fine, litter}"
13.3836599566122,Agricultural Sciences,2,"{runoff, catchment, hydrological}"
75.8122919223625,Agricultural Sciences,1,"{scale, spatial, variability}"
36.268755948,Agricultural Sciences,2,"{scenario, future, project}"
18.7061709560307,Agricultural Sciences,1,"{sea, level, rise}"
15.6566302323165,Agricultural Sciences,2,"{sediment, erosion, core}"
82.2445053470832,Agricultural Sciences,2,"{site, elevation, high}"
19.8390257330696,Agricultural Sciences,1,"{snow, cover, winter}"
91.6357005334686,Agricultural Sciences,3,"{soc, stock, soil}"
278.76583899725,Agricultural Sciences,2,"{soil, moisture, microbial}"
11.1284179092292,Agricultural Sciences,1,"{solar, radiation, irradiance}"
56.3645891707303,Agricultural Sciences,2,"{specie, distribution, habitat}"
20.3912882704885,Agricultural Sciences,2,"{storage, reservoir, injection}"
51.6120037525751,Agricultural Sciences,2,"{system, performance, design}"
53.1107572260607,Agricultural Sciences,1,"{temperature, warm, air}"
95.1511716554755,Agricultural Sciences,2,"{tree, ring, stand}"
24.7614800664214,Agricultural Sciences,1,"{trend, station, significant}"
39.4989077668176,Agricultural Sciences,1,"{uncertainty, estimate, projection}"
9.45230548259331,Agricultural Sciences,2,"{urban, city, urbanization}"
34.2867306940042,Agricultural Sciences,2,"{vegetation, ndvi, index}"
7.14003129669428,Agricultural Sciences,3,"{vehicle, electric, transport}"
28.6033648715473,Agricultural Sciences,3,"{waste, landfill, treatment}"
58.1981498725323,Agricultural Sciences,2,"{water, resource, irrigation}"
23.5073086493232,Agricultural Sciences,2,"{wetland, marsh, habitat}"
13.9994376724535,Agricultural Sciences,1,"{wind, speed, turbine}"
82.0982588788695,Agricultural Sciences,1,"{year, season, period}"
49.8520056112547,Engineering and Technology,2,"{adaptation, vulnerability, farmer}"
117.865230445268,Engineering and Technology,2,"{adsorption, capacity, adsorbent}"
41.6173629639896,Engineering and Technology,1,"{aerosol, forcing, radiative}"
29.900206824809,Engineering and Technology,1,"{arctic, warm, tundra}"
114.825358762474,Engineering and Technology,2,"{area, region, distribution}"
50.5022877743361,Engineering and Technology,3,"{biochar, application, amendment}"
89.8081888108074,Engineering and Technology,2,"{biomass, aboveground, bioenergy}"
238.173739627635,Engineering and Technology,2,"{building, design, construction}"
12.982444970824,Engineering and Technology,1,"{cal, pollen, holocene}"
133.562146930158,Engineering and Technology,3,"{carbon, low, sink}"
292.2389112619,Engineering and Technology,3,"{cement, material, concrete}"
40.5481576703784,Engineering and Technology,1,"{ch4, oxidation, emission}"
76.8727394970595,Engineering and Technology,2,"{change, climatic, response}"
154.218012446243,Engineering and Technology,2,"{china, province, chinese}"
59.3845421928396,Engineering and Technology,1,"{climate, future, global}"
46.7173402621148,Engineering and Technology,1,"{cloud, feedback, radiative}"
226.781654518005,Engineering and Technology,1,"{co2, mol, concentration}"
175.462943781162,Engineering and Technology,3,"{coal, combustion, technology}"
34.6574813900515,Engineering and Technology,2,"{community, microbial, composition}"
11.6269636455366,Engineering and Technology,2,"{coral, reef, bleaching}"
268.290517333578,Engineering and Technology,3,"{cost, price, technology}"
152.961663159225,Engineering and Technology,3,"{country, develop, international}"
39.2588779196697,Engineering and Technology,2,"{crop, yield, wheat}"
153.214197202163,Engineering and Technology,1,"{data, use, satellite}"
104.901061958624,Engineering and Technology,1,"{degree, day, latitude}"
25.9135983020343,Engineering and Technology,1,"{delta, isotope, value}"
24.5631914978437,Engineering and Technology,2,"{drought, stress, index}"
36.3491018141101,Engineering and Technology,2,"{ecosystem, terrestrial, net}"
305.476083727218,Engineering and Technology,3,"{emission, ghg, reduction}"
379.866285960654,Engineering and Technology,3,"{energy, consumption, demand}"
212.42583405847,Engineering and Technology,2,"{environmental, impact, life}"
56.2576282579707,Engineering and Technology,2,"{extreme, event, weather}"
27.2580993857376,Engineering and Technology,2,"{fire, burn, wildfire}"
49.9770709909508,Engineering and Technology,2,"{flood, flooding, damage}"
45.0023395083274,Engineering and Technology,1,"{flux, measurement, surface}"
28.3288086146984,Engineering and Technology,2,"{forest, stand, tropical}"
223.339447700685,Engineering and Technology,3,"{fuel, fossil, engine}"
207.821098073526,Engineering and Technology,1,"{gas, natural, hydrate}"
36.254250446719,Engineering and Technology,2,"{genetic, diversity, gene}"
25.2878152464019,Engineering and Technology,1,"{glacier, mass, balance}"
62.6205824504886,Engineering and Technology,2,"{groundwater, recharge, aquifer}"
90.6923697472747,Engineering and Technology,2,"{growth, economic, relationship}"
46.025094008641,Engineering and Technology,2,"{health, disease, human}"
139.693146938433,Engineering and Technology,1,"{heat, wave, stress}"
161.875458935627,Engineering and Technology,3,"{hydrogen, catalyst, cell}"
20.8007780352777,Engineering and Technology,1,"{ice, sheet, sea}"
146.330602878958,Engineering and Technology,2,"{increase, concentration, effect}"
26.2485108967816,Engineering and Technology,2,"{lake, level, diatom}"
61.9430875217221,Engineering and Technology,1,"{land, cover, agricultural}"
21.9584927789409,Engineering and Technology,2,"{leaf, photosynthesis, photosynthetic}"
107.959574552242,Engineering and Technology,2,"{management, resource, conservation}"
81.9877245942729,Engineering and Technology,1,"{methane, oxidation, source}"
257.452370606823,Engineering and Technology,1,"{method, use, approach}"
158.589468023006,Engineering and Technology,1,"{model, simulation, simulate}"
39.4918964176709,Engineering and Technology,1,"{n2o, denitrification, emission}"
35.1667696155663,Engineering and Technology,1,"{ocean, surface, deep}"
193.748162010894,Engineering and Technology,3,"{oil, biodiesel, palm}"
118.831877917219,Engineering and Technology,1,"{ozone, air, stratospheric}"
28.7471444776279,Engineering and Technology,1,"{pacific, sst, enso}"
