,docdynamictopic__topic__title,tscore,x1,x2,y1,y2,proportion
0,"{lake, diatom, level}",150.007621620751,-20.0,-15.0,-10.0,-5.0,0.33040774021805946
1,"{sst, pacific, enso}",42.3204386415432,-20.0,-15.0,-10.0,-5.0,0.09321526696784199
2,"{sediment, erosion, deposit}",18.8355639241771,-20.0,-15.0,-10.0,-5.0,0.04148733274136024
3,"{water, irrigation, deep}",16.4644972021938,-20.0,-15.0,-10.0,-5.0,0.03626480611869714
4,"{ocean, circulation, deep}",14.8791023780602,-20.0,-15.0,-10.0,-5.0,0.03277280540876169
5,"{year, period, annual}",10.9230585549751,-20.0,-15.0,-10.0,-5.0,0.024059198155566335
6,"{temperature, air, mean}",10.166550732372,-20.0,-15.0,-10.0,-5.0,0.02239290922022468
7,"{climate, future, global}",9.73105695015121,-20.0,-15.0,-10.0,-5.0,0.021433687849284136
8,"{river, flow, discharge}",8.09104165540846,-20.0,-15.0,-10.0,-5.0,0.017821379743840196
9,"{degree, day, high}",7.82660174140653,-20.0,-15.0,-10.0,-5.0,0.017238922709558752
10,"{record, glacial, last}",7.6625608630775,-20.0,-15.0,-10.0,-5.0,0.01687760522897693
11,"{model, simulation, simulate}",6.9140465036569,-20.0,-15.0,-10.0,-5.0,0.01522892274641488
12,"{precipitation, annual, region}",6.32368025231871,-20.0,-15.0,-10.0,-5.0,0.013928578291259045
13,"{scale, spatial, pattern}",6.14739826029198,-20.0,-15.0,-10.0,-5.0,0.013540298455892115
14,"{flux, measurement, surface}",5.61787428971149,-20.0,-15.0,-10.0,-5.0,0.0123739655947984
15,"{cal, pollen, holocene}",4.68898412978337,-20.0,-15.0,-10.0,-5.0,0.010327986228306092
16,"{concentration, nutrient, nitrogen}",4.59293063454087,-20.0,-15.0,-10.0,-5.0,0.010116418189560982
17,"{ice, sheet, sea}",4.57479361369797,-20.0,-15.0,-10.0,-5.0,0.010076469472247534
18,"{glacier, mass, balance}",4.30460919150952,-20.0,-15.0,-10.0,-5.0,0.009481359547745812
19,"{warm, warming, response}",4.16080200000265,-20.0,-15.0,-10.0,-5.0,0.009164608914281213
20,"{flood, flooding, damage}",4.12254913508678,-20.0,-15.0,-10.0,-5.0,0.009080352911038437
21,"{change, shift, response}",4.08425862614584,-20.0,-15.0,-10.0,-5.0,0.008996013992826929
22,"{sea, level, rise}",3.87804152567808,-20.0,-15.0,-10.0,-5.0,0.008541798897462415
23,"{runoff, catchment, streamflow}",3.86686042027053,-20.0,-15.0,-10.0,-5.0,0.008517171323670275
24,"{scenario, future, project}",3.74280853864949,-20.0,-15.0,-10.0,-5.0,0.008243933861244326
25,"{rainfall, monsoon, rain}",3.68591607499308,-20.0,-15.0,-10.0,-5.0,0.008118622159418422
26,"{co2, mol, concentration}",3.63935875439399,-20.0,-15.0,-10.0,-5.0,0.008016074709338558
27,"{trend, station, significant}",3.56116332186884,-20.0,-15.0,-10.0,-5.0,0.007843840952967645
28,"{method, approach, propose}",3.38913264468221,-20.0,-15.0,-10.0,-5.0,0.007464925090671525
29,"{season, winter, summer}",3.3890609316984,-20.0,-15.0,-10.0,-5.0,0.00746476713519787
30,"{effect, treatment, affect}",3.33886394477389,-20.0,-15.0,-10.0,-5.0,0.007354202932950773
31,"{research, review, development}",3.33581106001102,-20.0,-15.0,-10.0,-5.0,0.007347478629580399
32,"{snow, cover, depth}",3.13764669792312,-20.0,-15.0,-10.0,-5.0,0.0069110005469217054
33,"{permafrost, arctic, thaw}",2.83159305941238,-20.0,-15.0,-10.0,-5.0,0.006236884858710168
34,"{data, use, estimate}",2.63821378426118,-20.0,-15.0,-10.0,-5.0,0.005810946438932731
35,"{ecosystem, net, respiration}",2.59361708664261,-20.0,-15.0,-10.0,-5.0,0.005712717469483478
36,"{biomass, stand, ground}",2.59225154761461,-20.0,-15.0,-10.0,-5.0,0.005709709724546613
37,"{thermal, solar, tolerance}",2.5047788019202,-20.0,-15.0,-10.0,-5.0,0.00551704169926035
38,"{carbon, sink, net}",2.44625926853369,-20.0,-15.0,-10.0,-5.0,0.005388146203311914
39,"{increase, decrease, concentration}",2.3818915809485,-20.0,-15.0,-10.0,-5.0,0.005246369525778466
40,"{vegetation, ndvi, grassland}",2.2925589726131,-20.0,-15.0,-10.0,-5.0,0.005049604955225462
41,"{fish, fishery, marine}",2.22798481989078,-20.0,-15.0,-10.0,-5.0,0.004907373516269522
42,"{growth, rate, radial}",2.14289657743466,-20.0,-15.0,-10.0,-5.0,0.004719957612962088
43,"{heat, wave, stress}",2.01397542647766,-20.0,-15.0,-10.0,-5.0,0.00443599506696755
44,"{land, area, agricultural}",1.87513966910142,-20.0,-15.0,-10.0,-5.0,0.004130194545897222
45,"{delta, value, isotope}",1.86076502768355,-20.0,-15.0,-10.0,-5.0,0.00409853286940367
46,"{coastal, mangrove, storm}",1.85908242871507,-20.0,-15.0,-10.0,-5.0,0.004094826766227965
47,"{drought, index, severe}",1.7777319429452,-20.0,-15.0,-10.0,-5.0,0.00391564366953959
48,"{extreme, event, weather}",1.77408486571146,-20.0,-15.0,-10.0,-5.0,0.003907610594058617
49,"{reservoir, storage, injection}",1.50932858000183,-20.0,-15.0,-10.0,-5.0,0.003324456717444225
50,"{system, power, solar}",1.46228848202603,-20.0,-15.0,-10.0,-5.0,0.0032208458988478576
51,"{china, region, province}",1.43941770505486,-20.0,-15.0,-10.0,-5.0,0.0031704705802178463
52,"{uncertainty, estimate, projection}",1.30777342723664,-20.0,-15.0,-10.0,-5.0,0.002880510057701705
53,"{community, diversity, composition}",1.29574264922597,-20.0,-15.0,-10.0,-5.0,0.0028540109896368817
54,"{production, product, food}",1.23077407286127,-20.0,-15.0,-10.0,-5.0,0.0027109107906608887
55,"{methane, oxidation, source}",1.15638705371063,-20.0,-15.0,-10.0,-5.0,0.0025470654697794027
56,"{cloud, aerosol, radiative}",1.15545742612339,-20.0,-15.0,-10.0,-5.0,0.0025450178661508296
57,"{emission, greenhouse-gas, reduction}",1.12915245446968,-20.0,-15.0,-10.0,-5.0,0.0024870783684993306
58,"{specie, distribution, range}",1.11194838924052,-20.0,-15.0,-10.0,-5.0,0.0024491845851467614
59,"{wetland, marsh, restoration}",1.06272656215666,-20.0,-15.0,-10.0,-5.0,0.0023407682761588154
60,"{site, elevation, across}",0.964255638592637,-20.0,-15.0,-10.0,-5.0,0.002123875594437413
61,"{reaction, process, sorbent}",0.857901326205999,-20.0,-15.0,-10.0,-5.0,0.0018896189104206753
62,"{ch4, oxidation, rate}",0.813952007176205,-20.0,-15.0,-10.0,-5.0,0.0017928158611631563
63,"{stress, response, gene}",0.809526831910339,-20.0,-15.0,-10.0,-5.0,0.0017830689420142072
64,"{population, genetic, variation}",0.808975400706124,-20.0,-15.0,-10.0,-5.0,0.001781854356141157
