,docdynamictopic__topic__title,tscore,x1,x2,y1,y2,proportion
0,"{ice, sheet, sea}",327.638133812256,-15.0,-10.0,-10.0,-5.0,0.235432344135252
1,"{glacier, mass, balance}",299.638258597709,-15.0,-10.0,-10.0,-5.0,0.21531235327657877
2,"{arctic, permafrost, thaw}",88.9132759916637,-15.0,-10.0,-10.0,-5.0,0.06389079545745771
3,"{sea, level, rise}",67.06075167814,-15.0,-10.0,-10.0,-5.0,0.04818813299706915
4,"{ocean, circulation, deep}",33.9364699254269,-15.0,-10.0,-10.0,-5.0,0.024385875274204303
5,"{snow, cover, depth}",32.1277868985829,-15.0,-10.0,-10.0,-5.0,0.023086202126109973
6,"{model, simulation, simulate}",31.5202005513001,-15.0,-10.0,-10.0,-5.0,0.022649606189181177
7,"{lake, diatom, level}",30.9048308565861,-15.0,-10.0,-10.0,-5.0,0.02220741733878524
8,"{area, region, study}",26.0104643836457,-15.0,-10.0,-10.0,-5.0,0.018690451354472705
9,"{sst, pacific, enso}",26.0038398446357,-15.0,-10.0,-10.0,-5.0,0.018685691130960892
10,"{record, holocene, cal}",23.9540715403485,-15.0,-10.0,-10.0,-5.0,0.0172127802973001
11,"{change, response, shift}",21.7044682621774,-15.0,-10.0,-10.0,-5.0,0.015596273186263816
12,"{winter, season, summer}",21.327314500897,-15.0,-10.0,-10.0,-5.0,0.015325260184558242
13,"{temperature, air, warm}",21.0048623533879,-15.0,-10.0,-10.0,-5.0,0.01509355435692398
14,"{runoff, catchment, basin}",20.4359706742634,-15.0,-10.0,-10.0,-5.0,0.014684763414255298
15,"{climate, future, global}",19.8248707480829,-15.0,-10.0,-10.0,-5.0,0.014245642709813742
16,"{river, flow, discharge}",19.5199883177886,-15.0,-10.0,-10.0,-5.0,0.01402656202950755
17,"{precipitation, annual, region}",15.1497589126426,-15.0,-10.0,-10.0,-5.0,0.010886227474153534
18,"{water, deep, vapor}",14.615436374175,-15.0,-10.0,-10.0,-5.0,0.010502277027689907
19,"{sediment, erosion, deposit}",13.8843545833475,-15.0,-10.0,-10.0,-5.0,0.009976940438305763
20,"{trend, station, significant}",13.5584304326766,-15.0,-10.0,-10.0,-5.0,0.009742739718414254
21,"{year, period, annual}",13.360892463244,-15.0,-10.0,-10.0,-5.0,0.009600794009414812
22,"{degree, day, warm}",13.0436171249263,-15.0,-10.0,-10.0,-5.0,0.009372808103844844
23,"{method, use, analysis}",11.8469375794308,-15.0,-10.0,-10.0,-5.0,0.008512904931718504
24,"{flux, measurement, surface}",10.1150932543273,-15.0,-10.0,-10.0,-5.0,0.007268446100286843
25,"{scale, spatial, large}",9.7387990905062,-15.0,-10.0,-10.0,-5.0,0.006998050783227744
26,"{heat, wave, stress}",9.12203220324036,-15.0,-10.0,-10.0,-5.0,0.006554857946165603
27,"{data, use, estimate}",8.98630349946962,-15.0,-10.0,-10.0,-5.0,0.006457326787251435
28,"{uncertainty, estimate, projection}",7.89983088753252,-15.0,-10.0,-10.0,-5.0,0.005676615485759054
29,"{concentration, nutrient, doc}",7.29062544738037,-15.0,-10.0,-10.0,-5.0,0.005238856110297724
30,"{wind, speed, wave}",7.05464759472605,-15.0,-10.0,-10.0,-5.0,0.005069288488946771
31,"{scenario, future, impact}",6.46974625324955,-15.0,-10.0,-10.0,-5.0,0.004648993414288051
32,"{cloud, aerosol, radiative}",6.22003760189808,-15.0,-10.0,-10.0,-5.0,0.004469559193812919
33,"{delta, isotope, value}",5.83253932913757,-15.0,-10.0,-10.0,-5.0,0.004191112891965026
34,"{system, performance, control}",5.63872707455016,-15.0,-10.0,-10.0,-5.0,0.00405184438591927
35,"{land, surface, agricultural}",5.58239665695616,-15.0,-10.0,-10.0,-5.0,0.004011366795273877
36,"{co2, mol, carbon-dioxide}",5.30302515069209,-15.0,-10.0,-10.0,-5.0,0.0038106176094601283
37,"{community, diversity, composition}",5.29549641831551,-15.0,-10.0,-10.0,-5.0,0.003805207655828782
38,"{site, elevation, across}",5.12463940441878,-15.0,-10.0,-10.0,-5.0,0.003682434195897203
39,"{project, future, projection}",5.04571898907588,-15.0,-10.0,-10.0,-5.0,0.0036257240133305
40,"{research, social, environmental}",4.9151489849384,-15.0,-10.0,-10.0,-5.0,0.0035318997634174805
41,"{specie, distribution, range}",4.37954240402736,-15.0,-10.0,-10.0,-5.0,0.0031470266370480964
42,"{ecosystem, grassland, net}",3.96705258057068,-15.0,-10.0,-10.0,-5.0,0.002850622049040064
43,"{flood, flooding, damage}",3.80045256912127,-15.0,-10.0,-10.0,-5.0,0.0027309075616813666
44,"{solar, radiation, activity}",3.45638404650913,-15.0,-10.0,-10.0,-5.0,0.002483668762341401
45,"{tree, ring, stand}",3.24504416136962,-15.0,-10.0,-10.0,-5.0,0.002331805351361954
46,"{habitat, fish, conservation}",3.20542986684118,-15.0,-10.0,-10.0,-5.0,0.002303339537222507
47,"{extreme, event, weather}",2.94312398669114,-15.0,-10.0,-10.0,-5.0,0.002114853271824684
48,"{gas, methane, hydrate}",2.79574564722802,-15.0,-10.0,-10.0,-5.0,0.002008950984045064
49,"{storage, reservoir, injection}",2.55087159103402,-15.0,-10.0,-10.0,-5.0,0.001832990779422801
50,"{population, genetic, gene}",2.42753301285673,-15.0,-10.0,-10.0,-5.0,0.001744362846389744
51,"{energy, source, supply}",2.27534907190104,-15.0,-10.0,-10.0,-5.0,0.001635007376859846
52,"{soil, content, microbial}",2.27008330212121,-15.0,-10.0,-10.0,-5.0,0.0016312235300025922
53,"{production, product, lca}",1.97906746917978,-15.0,-10.0,-10.0,-5.0,0.0014221070302451674
54,"{growth, rate, response}",1.87259035778182,-15.0,-10.0,-10.0,-5.0,0.0013455953139760938
55,"{network, design, propose}",1.8190176570979,-15.0,-10.0,-10.0,-5.0,0.0013070993478413982
56,"{rainfall, monsoon, rain}",1.73409741763136,-15.0,-10.0,-10.0,-5.0,0.0012460778458278662
57,"{carbon, low, sink}",1.7312299802536,-15.0,-10.0,-10.0,-5.0,0.001244017379008415
58,"{process, solvent, absorption}",1.49132611428373,-15.0,-10.0,-10.0,-5.0,0.0010716286253697413
59,"{vegetation, ndvi, index}",1.45222684063359,-15.0,-10.0,-10.0,-5.0,0.0010435328919997273
60,"{increase, effect, decrease}",1.44091860105287,-15.0,-10.0,-10.0,-5.0,0.0010354070816077736
0,"{arctic, permafrost, thaw}",249.119922991427,-15.0,-10.0,-5.0,0.0,0.13478135034402533
1,"{population, genetic, gene}",215.663435445816,-15.0,-10.0,-5.0,0.0,0.11668038710103051
2,"{snow, cover, depth}",195.114788424613,-15.0,-10.0,-5.0,0.0,0.10556295273446731
3,"{biochar, amendment, application}",152.383142278608,-15.0,-10.0,-5.0,0.0,0.08244385049317518
4,"{soil, content, microbial}",64.8253119515147,-15.0,-10.0,-5.0,0.0,0.0350724381108552
5,"{specie, distribution, range}",63.8259997616786,-15.0,-10.0,-5.0,0.0,0.034531780243174375
6,"{winter, season, summer}",57.1107900593571,-15.0,-10.0,-5.0,0.0,0.030898650380841608
7,"{temperature, air, warm}",34.7599316865085,-15.0,-10.0,-5.0,0.0,0.018806165618214785
8,"{habitat, fish, conservation}",31.6576572721736,-15.0,-10.0,-5.0,0.0,0.017127742111652577
9,"{model, simulation, simulate}",26.3358789115187,-15.0,-10.0,-5.0,0.0,0.014248500399196827
10,"{change, response, shift}",24.7451542175284,-15.0,-10.0,-5.0,0.0,0.013387870628172942
11,"{climate, future, global}",24.1607305589982,-15.0,-10.0,-5.0,0.0,0.013071679899933169
12,"{degree, day, warm}",21.7401495251775,-15.0,-10.0,-5.0,0.0,0.011762072958674126
13,"{ice, sheet, sea}",21.4420087873056,-15.0,-10.0,-5.0,0.0,0.011600769877168592
14,"{scale, spatial, large}",19.6375133759844,-15.0,-10.0,-5.0,0.0,0.010624483736313297
15,"{river, flow, discharge}",19.4768792555956,-15.0,-10.0,-5.0,0.0,0.010537575859185891
16,"{site, elevation, across}",19.2282834260075,-15.0,-10.0,-5.0,0.0,0.01040307805909252
17,"{plant, stress, grow}",18.5892044727619,-15.0,-10.0,-5.0,0.0,0.010057317177102152
18,"{ecosystem, grassland, net}",17.6558241829369,-15.0,-10.0,-5.0,0.0,0.009552330444862995
19,"{adaptation, local, mitigation}",17.5362893005515,-15.0,-10.0,-5.0,0.0,0.009487658488209922
20,"{area, region, study}",16.9499294198058,-15.0,-10.0,-5.0,0.0,0.00917042020567727
21,"{trend, station, significant}",16.3626446411946,-15.0,-10.0,-5.0,0.0,0.008852681525658355
22,"{community, diversity, composition}",16.0608770552709,-15.0,-10.0,-5.0,0.0,0.008689416210574532
23,"{water, deep, vapor}",15.771272850751,-15.0,-10.0,-5.0,0.0,0.008532731649653876
24,"{research, social, environmental}",15.7277596617545,-15.0,-10.0,-5.0,0.0,0.008509189709289176
25,"{method, use, analysis}",15.4859891141536,-15.0,-10.0,-5.0,0.0,0.008378384591465721
26,"{year, period, annual}",13.8542910320426,-15.0,-10.0,-5.0,0.0,0.007495586988528739
27,"{precipitation, annual, region}",13.6335945020303,-15.0,-10.0,-5.0,0.0,0.007376183546306569
28,"{runoff, catchment, basin}",13.2133289955948,-15.0,-10.0,-5.0,0.0,0.007148807302045521
29,"{forest, stand, disturbance}",12.6509643542336,-15.0,-10.0,-5.0,0.0,0.006844551163723719
30,"{sea, level, rise}",12.4725156449473,-15.0,-10.0,-5.0,0.0,0.006748005059678947
31,"{vegetation, ndvi, index}",12.440979309604,-15.0,-10.0,-5.0,0.0,0.006730942956369697
32,"{sst, pacific, enso}",12.2081370518972,-15.0,-10.0,-5.0,0.0,0.00660496831117059
33,"{flux, measurement, surface}",12.0130572386473,-15.0,-10.0,-5.0,0.0,0.006499424281054674
34,"{data, use, estimate}",11.9555127999832,-15.0,-10.0,-5.0,0.0,0.006468291013771979
35,"{carbon, low, sink}",11.5493982399096,-15.0,-10.0,-5.0,0.0,0.006248570855930676
36,"{concentration, nutrient, doc}",11.193030812959,-15.0,-10.0,-5.0,0.0,0.006055765389204996
37,"{lake, diatom, level}",11.0187592654425,-15.0,-10.0,-5.0,0.0,0.005961479254965844
38,"{tree, ring, stand}",10.8093644596426,-15.0,-10.0,-5.0,0.0,0.005848190384522083
39,"{cloud, aerosol, radiative}",10.3764074611223,-15.0,-10.0,-5.0,0.0,0.005613947662379501
40,"{land, surface, agricultural}",10.2678346029725,-15.0,-10.0,-5.0,0.0,0.005555206489628561
41,"{ocean, circulation, deep}",9.76300276723061,-15.0,-10.0,-5.0,0.0,0.005282077324763306
42,"{emission, greenhouse-gas, reduction}",9.38956402598898,-15.0,-10.0,-5.0,0.0,0.005080035764975846
43,"{scenario, future, impact}",9.2262828493276,-15.0,-10.0,-5.0,0.0,0.0049916957510102045
44,"{record, holocene, cal}",8.97577509528543,-15.0,-10.0,-5.0,0.0,0.004856163542441665
45,"{heat, wave, stress}",8.608295635579,-15.0,-10.0,-5.0,0.0,0.00465734613270511
46,"{leaf, photosynthetic, photosynthesis}",8.36900912316444,-15.0,-10.0,-5.0,0.0,0.004527884952422646
47,"{crop, yield, wheat}",8.2229302783752,-15.0,-10.0,-5.0,0.0,0.004448851915959855
48,"{biomass, stand, estimate}",7.96212053325534,-15.0,-10.0,-5.0,0.0,0.004307746021224389
49,"{co2, mol, carbon-dioxide}",7.94759050829603,-15.0,-10.0,-5.0,0.0,0.004299884841913509
50,"{project, future, projection}",7.71837165774867,-15.0,-10.0,-5.0,0.0,0.004175870568666717
51,"{growth, rate, response}",7.46466141723789,-15.0,-10.0,-5.0,0.0,0.004038605718864531
52,"{system, performance, control}",7.24830466347442,-15.0,-10.0,-5.0,0.0,0.003921550225758531
53,"{ch4, methane, oxidation}",7.2436649147483,-15.0,-10.0,-5.0,0.0,0.003919039982534889
54,"{n2o, denitrification, nitrous-oxide}",7.0729449775719,-15.0,-10.0,-5.0,0.0,0.0038266753760153446
55,"{sediment, erosion, deposit}",6.41976538447143,-15.0,-10.0,-5.0,0.0,0.0034732856249344085
56,"{risk, disaster, hazard}",6.15966856850226,-15.0,-10.0,-5.0,0.0,0.003332565446252784
57,"{extreme, event, weather}",5.94578352454695,-15.0,-10.0,-5.0,0.0,0.0032168472222884967
58,"{uncertainty, estimate, projection}",5.7840015842915,-15.0,-10.0,-5.0,0.0,0.0031293183401859743
59,"{seed, germination, seedling}",5.66650528149972,-15.0,-10.0,-5.0,0.0,0.0030657493162374104
60,"{rice, paddy, field}",5.40305371434664,-15.0,-10.0,-5.0,0.0,0.002923214116544194
61,"{delta, isotope, value}",5.282994194944,-15.0,-10.0,-5.0,0.0,0.002858258315529036
62,"{glacier, mass, balance}",5.161610378042,-15.0,-10.0,-5.0,0.0,0.0027925860298462627
63,"{production, product, lca}",5.16025065633243,-15.0,-10.0,-5.0,0.0,0.0027918503796184233
64,"{material, waste, concrete}",5.1134011842549,-15.0,-10.0,-5.0,0.0,0.0027665034100397136
65,"{disease, health, vector}",5.06990919836297,-15.0,-10.0,-5.0,0.0,0.0027429729411905424
66,"{increase, effect, decrease}",4.92318911999363,-15.0,-10.0,-5.0,0.0,0.0026635929781280085
67,"{root, fine, shoot}",4.89863352547886,-15.0,-10.0,-5.0,0.0,0.0026503076649846075
68,"{china, province, industry}",4.66223477598432,-15.0,-10.0,-5.0,0.0,0.002522408851056307
69,"{vulnerability, index, resilience}",4.57593532557815,-15.0,-10.0,-5.0,0.0,0.0024757182599545622
70,"{gas, methane, hydrate}",4.47739491451482,-15.0,-10.0,-5.0,0.0,0.0024224049419867013
71,"{drought, index, severe}",4.4716946349304,-15.0,-10.0,-5.0,0.0,0.002419320919759571
72,"{adsorption, membrane, capacity}",4.32863203529547,-15.0,-10.0,-5.0,0.0,0.002341919762393341
73,"{rainfall, monsoon, rain}",4.3045967808149,-15.0,-10.0,-5.0,0.0,0.002328915968815318
