,docdynamictopic__topic__title,tscore,x1,x2,y1,y2,proportion
0,"{biochar, amendment, application}",117.193055538055,-20.0,-15.0,-5.0,0.0,0.5791950743746677
1,"{soil, organic, microbial}",23.5343251404826,-20.0,-15.0,-5.0,0.0,0.11631205567187533
2,"{permafrost, arctic, thaw}",6.5806617722413,-20.0,-15.0,-5.0,0.0,0.032523146248799394
3,"{rice, paddy, field}",3.82019103732403,-20.0,-15.0,-5.0,0.0,0.018880264038084082
4,"{crop, yield, wheat}",2.96523075214783,-20.0,-15.0,-5.0,0.0,0.01465485337969214
5,"{biomass, root, bioenergy}",2.87801917848098,-20.0,-15.0,-5.0,0.0,0.014223833694571801
6,"{effect, treatment, response}",2.52713396562301,-20.0,-15.0,-5.0,0.0,0.012489678150754193
7,"{degree, day, latitude}",2.48010406529656,-20.0,-15.0,-5.0,0.0,0.012257245550611206
8,"{soc, stock, organic-carbon}",2.41099397444477,-20.0,-15.0,-5.0,0.0,0.011915687563005494
9,"{carbon, low, economy}",2.39661416202892,-20.0,-15.0,-5.0,0.0,0.011844619217842436
10,"{waste, material, landfill}",2.22914695518876,-20.0,-15.0,-5.0,0.0,0.011016957707731817
11,"{production, farm, product}",2.08024111686771,-20.0,-15.0,-5.0,0.0,0.010281030756213968
12,"{rate, decomposition, litter}",2.05614355205053,-20.0,-15.0,-5.0,0.0,0.010161935040324872
13,"{ch4, oxidation, emission}",2.02688039558338,-20.0,-15.0,-5.0,0.0,0.010017309780674359
14,"{temperature, thermal, warm}",1.95805867957152,-20.0,-15.0,-5.0,0.0,0.009677177007950996
15,"{plant, seed, trait}",1.77564187743291,-20.0,-15.0,-5.0,0.0,0.008775631154429387
16,"{n2o, denitrification, nitrous-oxide}",1.74207389385538,-20.0,-15.0,-5.0,0.0,0.00860973044763809
17,"{emission, reduction, ghg}",1.71710296463542,-20.0,-15.0,-5.0,0.0,0.008486318363702254
18,"{co2, carbon-dioxide, mol}",1.28152595106396,-20.0,-15.0,-5.0,0.0,0.006333596433096942
19,"{increase, decrease, result}",1.20252398920821,-20.0,-15.0,-5.0,0.0,0.005943150540525029
20,"{level, high, low}",0.781308363486871,-20.0,-15.0,-5.0,0.0,0.0038614058966350813
21,"{flux, surface, measurement}",0.760725384507368,-20.0,-15.0,-5.0,0.0,0.0037596800734952087
22,"{management, research, resource}",0.754281703542849,-20.0,-15.0,-5.0,0.0,0.0037278339179499308
23,"{system, performance, hybrid}",0.739156266251516,-20.0,-15.0,-5.0,0.0,0.0036530805229071824
24,"{water, demand, deep}",0.706322057031243,-20.0,-15.0,-5.0,0.0,0.003490806298004888
25,"{environmental, economic, environment}",0.68735390328081,-20.0,-15.0,-5.0,0.0,0.0033970613131011993
26,"{irrigation, agricultural, farmer}",0.676574021343888,-20.0,-15.0,-5.0,0.0,0.0033437846535624583
27,"{community, diversity, local}",0.674196032608254,-20.0,-15.0,-5.0,0.0,0.003332032085491986
28,"{cost, benefit, economic}",0.566645296096033,-20.0,-15.0,-5.0,0.0,0.0028004915727265485
29,"{process, solvent, absorption}",0.542021545626468,-20.0,-15.0,-5.0,0.0,0.0026787953261433045
30,"{technology, cc, storage}",0.498281796444682,-20.0,-15.0,-5.0,0.0,0.002462623410801039
31,"{winter, summer, spring}",0.482636284903208,-20.0,-15.0,-5.0,0.0,0.002385299689021712
32,"{china, province, chinese}",0.47361995919763,-20.0,-15.0,-5.0,0.0,0.0023407389305906572
33,"{energy, source, supply}",0.473226764341309,-20.0,-15.0,-5.0,0.0,0.0023387956710433657
34,"{coal, combustion, gasification}",0.425092725405363,-20.0,-15.0,-5.0,0.0,0.0021009061635681938
35,"{gas, hydrate, pressure}",0.405571286647599,-20.0,-15.0,-5.0,0.0,0.0020044267167162247
36,"{oil, palm, biodiesel}",0.383443970633085,-20.0,-15.0,-5.0,0.0,0.0018950684242312525
37,"{design, problem, propose}",0.361498525165677,-20.0,-15.0,-5.0,0.0,0.0017866089778816078
38,"{model, simulation, simulate}",0.359242082356478,-20.0,-15.0,-5.0,0.0,0.0017754571177761103
39,"{health, disease, vector}",0.353816966243914,-20.0,-15.0,-5.0,0.0,0.0017486449443424434
40,"{risk, disaster, hazard}",0.351845412881822,-20.0,-15.0,-5.0,0.0,0.0017389010735051503
41,"{food, diet, consumption}",0.326786040049191,-20.0,-15.0,-5.0,0.0,0.0016150518808636532
42,"{delta, value, thousand}",0.303294919028537,-20.0,-15.0,-5.0,0.0,0.0014989533499034815
43,"{land, surface, agricultural}",0.299970227609481,-20.0,-15.0,-5.0,0.0,0.0014825219591108106
44,"{methane, hydrate, source}",0.277408508801518,-20.0,-15.0,-5.0,0.0,0.0013710167479615448
45,"{wetland, marsh, habitat}",0.254895792830127,-20.0,-15.0,-5.0,0.0,0.0012597537201177876
46,"{data, use, information}",0.246321047689248,-20.0,-15.0,-5.0,0.0,0.0012173753545498508
47,"{forest, stand, deforestation}",0.24516397081193,-20.0,-15.0,-5.0,0.0,0.001211656814104442
48,"{heat, heating, thermal}",0.231704065712141,-20.0,-15.0,-5.0,0.0,0.0011451348627861168
49,"{fuel, fossil, hydrogen}",0.213511114410056,-20.0,-15.0,-5.0,0.0,0.0010552211069400279
50,"{change, response, shift}",0.209385539524123,-20.0,-15.0,-5.0,0.0,0.0010348315655808959
0,"{permafrost, arctic, thaw}",49.5603548362828,-20.0,-15.0,0.0,5.0,0.5417206667487712
1,"{soil, organic, microbial}",3.93364541947588,-20.0,-15.0,0.0,5.0,0.042996807154247384
2,"{ch4, oxidation, emission}",2.64254597548018,-20.0,-15.0,0.0,5.0,0.028884413206488938
3,"{carbon, low, economy}",2.00701965075548,-20.0,-15.0,0.0,5.0,0.021937777220860016
4,"{temperature, thermal, warm}",1.71303288209387,-20.0,-15.0,0.0,5.0,0.01872434767902607
5,"{model, simulation, simulate}",1.45098315455254,-20.0,-15.0,0.0,5.0,0.015860006743736867
6,"{lake, diatom, level}",1.07846633984459,-20.0,-15.0,0.0,5.0,0.011788202619142853
7,"{ice, sea, antarctic}",1.07420482407062,-20.0,-15.0,0.0,5.0,0.011741622017085796
8,"{degree, day, latitude}",1.01357156594788,-20.0,-15.0,0.0,5.0,0.01107886871102281
9,"{climate, future, impact}",0.997996172388507,-20.0,-15.0,0.0,5.0,0.0109086214920162
10,"{ecosystem, grassland, ecological}",0.996859935066172,-20.0,-15.0,0.0,5.0,0.010896201822264572
11,"{methane, hydrate, source}",0.993551961474131,-20.0,-15.0,0.0,5.0,0.010860043936273088
