,docdynamictopic__topic__title,tscore,x1,x2,y1,y2,proportion
0,"{membrane, separation, selectivity}",137.252452293616,-20.0,-15.0,-10.0,-5.0,0.5693732324019978
1,"{co2, concentration, mol}",19.2758056431872,-20.0,-15.0,-10.0,-5.0,0.07996307230078287
2,"{absorption, solvent, amine}",11.0328257947188,-20.0,-15.0,-10.0,-5.0,0.04576818541521511
3,"{gas, hydrate, pressure}",10.3667832163232,-20.0,-15.0,-10.0,-5.0,0.043005197873344406
4,"{adsorption, capacity, adsorbent}",5.64866339783142,-20.0,-15.0,-10.0,-5.0,0.023432716019484354
5,"{reaction, catalyst, sorbent}",5.43529651783514,-20.0,-15.0,-10.0,-5.0,0.02254759237964494
6,"{process, cycle, chemical}",5.19371417728231,-20.0,-15.0,-10.0,-5.0,0.02154542071835067
7,"{ch4, oxidation, uptake}",4.52634302265326,-20.0,-15.0,-10.0,-5.0,0.018776921757690065
8,"{flux, measurement, surface}",2.99132557612331,-20.0,-15.0,-10.0,-5.0,0.012409109520320878
9,"{fuel, combustion, vehicle}",2.53639705333925,-20.0,-15.0,-10.0,-5.0,0.01052190008106575
10,"{water, irrigation, deep}",2.52196278974723,-20.0,-15.0,-10.0,-5.0,0.010462021491055937
11,"{material, waste, concrete}",2.47277673718364,-20.0,-15.0,-10.0,-5.0,0.010257979805321128
12,"{system, power, efficiency}",2.41707803195095,-20.0,-15.0,-10.0,-5.0,0.010026921260945539
13,"{degree, day, warm}",2.39573227461106,-20.0,-15.0,-10.0,-5.0,0.009938371274030317
14,"{cost, price, electricity}",2.28539832327699,-20.0,-15.0,-10.0,-5.0,0.009480665801632822
15,"{energy, technology, source}",1.77661081056714,-20.0,-15.0,-10.0,-5.0,0.007370029628097189
16,"{heat, stress, wave}",1.60623675635206,-20.0,-15.0,-10.0,-5.0,0.006663255910434548
17,"{temperature, air, warm}",1.59121191567093,-20.0,-15.0,-10.0,-5.0,0.006600927391257058
18,"{method, use, analysis}",1.48962934640153,-20.0,-15.0,-10.0,-5.0,0.006179525843568221
19,"{rate, high, low}",1.38766790843906,-20.0,-15.0,-10.0,-5.0,0.005756552610355195
20,"{methane, concentration, oxidation}",1.27656423576278,-20.0,-15.0,-10.0,-5.0,0.00529565405308862
21,"{coal, combustion, technology}",1.25572922559039,-20.0,-15.0,-10.0,-5.0,0.005209222831709751
22,"{carbon, nitrogen, net}",1.20019603958709,-20.0,-15.0,-10.0,-5.0,0.004978850921467744
23,"{approach, decision, management}",1.1472740446701,-20.0,-15.0,-10.0,-5.0,0.004759311184235302
24,"{delta, isotope, value}",1.0575050941098,-20.0,-15.0,-10.0,-5.0,0.004386916835750277
25,"{model, simulation, simulate}",0.926893000917326,-20.0,-15.0,-10.0,-5.0,0.0038450902348477227
26,"{plant, seed, herbivore}",0.921977509417487,-20.0,-15.0,-10.0,-5.0,0.0038246989832719717
27,"{research, social, science}",0.835553060923562,-20.0,-15.0,-10.0,-5.0,0.00346617884920341
28,"{production, product, food}",0.720080067966168,-20.0,-15.0,-10.0,-5.0,0.0029871547577821843
29,"{growth, radial, grow}",0.633312955414299,-20.0,-15.0,-10.0,-5.0,0.002627213128220907
30,"{increase, effect, concentration}",0.587401823776573,-20.0,-15.0,-10.0,-5.0,0.0024367570089532916
31,"{river, flow, discharge}",0.518777032292812,-20.0,-15.0,-10.0,-5.0,0.0021520763442578784
32,"{fire, burn, wildfire}",0.409399991224897,-20.0,-15.0,-10.0,-5.0,0.001698340484659678
33,"{emission, greenhouse-gas, reduction}",0.39443223988796,-20.0,-15.0,-10.0,-5.0,0.0016362487929041819
34,"{reservoir, storage, injection}",0.384569848755129,-20.0,-15.0,-10.0,-5.0,0.001595335997360827
35,"{trait, response, stress}",0.332277079527468,-20.0,-15.0,-10.0,-5.0,0.0013784065177861297
36,"{biomass, phytoplankton, bioenergy}",0.327720155537186,-20.0,-15.0,-10.0,-5.0,0.0013595027350208745
