ipcc_coverage,ipcc_score,ipcc_share,primary_wg,score,share,title,deviation,abs_md,representation,ys,year_av
0.105189403454437,22.9491490701869,0.00724920670153954,2,451.471092903408,0.00971404800759418,"{specie, distribution, range}",-0.0024648413060546397,0.0024648413060546397,0.7462601271758496,0.42193760137214287,4.586956521739131
0.0848803148207109,13.818818770536,0.00436510623258216,3,344.549708373198,0.00741348108605468,"{storage, cc, project}",-0.0030483748534725205,0.0030483748534725205,0.588806551458431,0.4263267351818544,4.666666666666667
0.137647171809622,35.5195048498483,0.0112199468400939,1,506.558208007916,0.0108993262881678,"{carbon, sink, stock}",0.00032062055192610094,0.00032062055192610094,1.0294165477249877,0.4251194391914022,4.468085106382978
0.149634955953893,34.4602899698503,0.0108853606825432,2,437.078926332562,0.00940437990436464,"{term, long, short}",0.0014809807781785596,0.0014809807781785596,1.1574777702771477,0.4342129403547915,4.42
0.146663369137241,29.5837246657974,0.00934494496714917,1,345.129317068143,0.00742595219832915,"{concentration, doc, atmospheric}",0.0019189927688200202,0.0019189927688200202,1.2584170645822088,0.45794660076491966,4.2592592592592595
0.141563504827642,29.4722073063232,0.0093097187203212,2,459.185760290079,0.0098800401398366,"{index, vulnerability, correlation}",-0.0005703214195154002,0.0005703214195154002,0.9422753944879385,0.3815024308710008,4.523809523809524
0.153938633243865,18.4969913970215,0.00584285341402053,2,267.293321231066,0.00575119912517515,"{crop, agricultural, irrigation}",9.165428884537995e-05,9.165428884537995e-05,1.015936552856286,0.3825626714295006,4.5476190476190474
0.218446858524813,23.2700753373916,0.00735058130326465,2,262.380760473679,0.00564549833549535,"{risk, disaster, hazard}",0.0017050829677692997,0.0017050829677692997,1.3020252361157931,0.35901544419255815,4.684210526315789
0.148953366001372,25.8633135330272,0.00816973671721904,2,359.008743805896,0.00772458796874246,"{disease, vector, host}",0.00044514874847657957,0.00044514874847657957,1.0576275071599772,0.4243378264299694,4.595744680851064
0.252313287531526,59.9402372686811,0.0189339991810186,1,384.763072260446,0.0082787292791017,"{pacific, sst, enso}",0.010655269901916899,0.010655269901916899,2.2870658699777016,0.47265329418965774,4.351851851851852
0.345173537799714,42.0347790957121,0.0132780000420246,2,293.152864423664,0.00630760428150931,"{adaptation, vulnerability, strategy}",0.00697039576051529,0.00697039576051529,2.1050781642959038,0.34777000312289974,4.777777777777778
0.0572536032493649,5.10961731460377,0.00161403248399512,3,242.393156922497,0.00521543638135266,"{building, design, construction}",-0.00360140389735754,0.00360140389735754,0.30947218333751575,0.3516193514944023,4.777777777777778
0.159130813168974,15.0745534875791,0.00476176932881742,2,240.026641259457,0.00516451740309947,"{drought, stress, severe}",-0.0004027480742820498,0.0004027480742820498,0.9220163196583786,0.351328228556152,4.589743589743589
0.147355551115059,11.4483838929328,0.00361633021706499,2,232.386020677331,0.00500011849404596,"{urban, city, urbanization}",-0.0013837882769809698,0.0013837882769809698,0.723248903275241,0.3129079879481318,4.757575757575758
0.114091146647293,27.8321210188827,0.00879164615607688,2,501.580121464601,0.0107922156172346,"{water, irrigation, resource}",-0.0020005694611577186,0.0020005694611577186,0.8146284755501998,0.4072818215714589,4.456521739130435
0.0902808534066045,20.1037954785731,0.00635041275229581,2,517.237074710493,0.0111290974195782,"{environmental, impact, environment}",-0.00477868466728239,0.00477868466728239,0.5706134570377851,0.376017244158911,4.609756097560975
0.110452279704215,28.1939652482846,0.00890594597628683,1,505.857949100056,0.0108842592135405,"{data, use, satellite}",-0.0019783132372536705,0.0019783132372536705,0.8182408927938283,0.4215710510507515,4.446808510638298
0.069374262902427,9.97998417237497,0.00315249022621169,3,288.720235883714,0.00621222992174699,"{fuel, fossil, engine}",-0.0030597396955353,0.0030597396955353,0.5074651559781859,0.4305533571041595,4.5
0.212194949069278,31.7466109726061,0.0100281602733914,2,311.05687538136,0.00669283475297333,"{extreme, event, weather}",0.003335325520418069,0.003335325520418069,1.4983427267401652,0.3947939036995021,4.534883720930233
0.104170851682521,17.2682211235678,0.00545470788087982,2,352.096379311968,0.0075758585338007,"{population, size, survival}",-0.00212115065292088,0.00212115065292088,0.7200118450658649,0.41682646815985824,4.622222222222222
0.0874175185214285,9.95067100620768,0.00314323074561075,2,274.491101094106,0.00590606968109036,"{thermal, tolerance, performance}",-0.00276283893547961,0.00276283893547961,0.532203464458695,0.37517436453259706,4.609756097560975
0.0196355705404565,1.77768793565113,0.000561538349720747,1,250.590514684296,0.00539181428923032,"{membrane, separation, selectivity}",-0.004830275939509573,0.004830275939509573,0.10414645601618197,0.34051157153735884,4.666666666666667
0.112934379004357,21.5469993479183,0.00680629384528746,2,445.131751954577,0.00957764799598456,"{management, resource, strategy}",-0.0027713541506971,0.0027713541506971,0.7106435575979622,0.37507557174809103,4.634146341463414
0.0704075366497349,2.77757639686386,0.000877384401861814,3,149.954634052551,0.0032264889979553,"{biochar, amendment, pyrolysis}",-0.002349104596093486,0.002349104596093486,0.2719316267366269,0.27805657094832287,4.758620689655173
0.101980591598709,18.1566492805995,0.00573534570889225,2,365.866783360877,0.00787214852471655,"{growth, grow, radial}",-0.0021368028158243006,0.0021368028158243006,0.7285616742220651,0.4118537309514954,4.375
0.142459375404861,15.8168173534197,0.0049962365926844,1,219.53854346157,0.00472368659749225,"{wind, speed, turbine}",0.00027254999519215044,0.00027254999519215044,1.0576985770683525,0.43439261201350154,4.520833333333333
