,WG,period,score,topic_id,topic_title,tpsum,share,tscore
0,1,AR1,0.00476254713032386,9145,"{per, thousand, part}",0.00915502811023443,0.5202110876098562,194.16764034775503
1,2,AR1,0.00404194371931578,9145,"{per, thousand, part}",0.00915502811023443,0.4414998698690265,194.16764034775503
2,3,AR1,0.00035053726059479,9145,"{per, thousand, part}",0.00915502811023443,0.03828904252111727,194.16764034775503
3,1,AR1,2.32927104050158e-05,9198,"{soc, stock, soil}",2.4800286397777648e-05,0.9392113474585946,243.553848432749
4,2,AR1,1.50757599276185e-06,9198,"{soc, stock, soil}",2.4800286397777648e-05,0.060788652541405475,243.553848432749
5,3,AR1,0.0,9198,"{soc, stock, soil}",2.4800286397777648e-05,0.0,243.553848432749
6,1,AR1,0.0835206911634229,9225,"{climat, chang, impact}",0.1940032044929894,0.43051191541756745,1759.20122386349
7,2,AR1,0.0581528464670537,9225,"{climat, chang, impact}",0.1940032044929894,0.2997519892469361,1759.20122386349
8,3,AR1,0.0523296668625128,9225,"{climat, chang, impact}",0.1940032044929894,0.2697360953354964,1759.20122386349
9,1,AR1,0.032245316873404,9191,"{precipit, annual, moistur}",0.03747555507285868,0.8604360045025021,699.391175560447
10,2,AR1,0.00523023819945468,9191,"{precipit, annual, moistur}",0.03747555507285868,0.13956399549749782,699.391175560447
11,3,AR1,0.0,9191,"{precipit, annual, moistur}",0.03747555507285868,0.0,699.391175560447
12,1,AR1,0.0,9141,"{groundwat, flow, recharg}",0.0,,322.670364786431
13,2,AR1,0.0,9141,"{groundwat, flow, recharg}",0.0,,322.670364786431
14,3,AR1,0.0,9141,"{groundwat, flow, recharg}",0.0,,322.670364786431
15,1,AR1,0.00247169200237624,9199,"{glacier, mass, balanc}",0.0031426738363841736,0.7864933273572109,282.64158166228697
16,2,AR1,0.0,9199,"{glacier, mass, balanc}",0.0031426738363841736,0.0,282.64158166228697
17,3,AR1,0.000670981834007934,9199,"{glacier, mass, balanc}",0.0031426738363841736,0.21350667264278908,282.64158166228697
18,1,AR1,0.0465074588499444,9189,"{year, period, annual}",0.07382262293450438,0.6299892499241858,624.656397882873
19,2,AR1,0.0210877497163297,9189,"{year, period, annual}",0.07382262293450438,0.2856543005121724,624.656397882873
20,3,AR1,0.0062274143682302715,9189,"{year, period, annual}",0.07382262293450438,0.08435644956364187,624.656397882873
21,1,AR1,0.000522862418432521,9144,"{cost, optim, econom}",0.000934398471558243,0.5595711405227078,343.69477294114
22,2,AR1,0.0,9144,"{cost, optim, econom}",0.000934398471558243,0.0,343.69477294114
23,3,AR1,0.00041153605312572203,9144,"{cost, optim, econom}",0.000934398471558243,0.4404288594772922,343.69477294114
24,1,AR1,0.0520543476713485,9187,"{increas, decreas, effect}",0.1301924048614258,0.39982630113295853,887.582780605864
25,2,AR1,0.0637965458519335,9187,"{increas, decreas, effect}",0.1301924048614258,0.4900174162988791,887.582780605864
26,3,AR1,0.0143415113381438,9187,"{increas, decreas, effect}",0.1301924048614258,0.11015628256816223,887.582780605864
27,1,AR1,0.0,9147,"{coral, reef, bleach}",0.0,,356.66590861560206
28,2,AR1,0.0,9147,"{coral, reef, bleach}",0.0,,356.66590861560206
29,3,AR1,0.0,9147,"{coral, reef, bleach}",0.0,,356.66590861560206
30,1,AR1,0.25368178039043,9192,"{ocean, southern, marin}",0.3395144806301967,0.747189869249622,673.8261021127851
31,2,AR1,0.0293597714936887,9192,"{ocean, southern, marin}",0.3395144806301967,0.08647575631882318,673.8261021127851
32,3,AR1,0.056472928746078,9192,"{ocean, southern, marin}",0.3395144806301967,0.1663343744315548,673.8261021127851
33,1,AR1,0.0665456013293406,9142,"{region, area, climat}",0.10810367525330712,0.6155720531555642,865.74800940106
34,2,AR1,0.0218555106700516,9142,"{region, area, climat}",0.10810367525330712,0.2021717635301488,865.74800940106
35,3,AR1,0.0197025632539149,9142,"{region, area, climat}",0.10810367525330712,0.18225618331428706,865.74800940106
36,1,AR1,0.00446574830100733,9194,"{crop, yield, wheat}",0.014602694776260274,0.30581672557227824,661.911999158879
37,2,AR1,0.009642845152997879,9194,"{crop, yield, wheat}",0.014602694776260274,0.6603469634025587,661.911999158879
38,3,AR1,0.000494101322255067,9194,"{crop, yield, wheat}",0.014602694776260274,0.03383631102516309,661.911999158879
39,1,AR1,0.00403062257801325,9128,"{manag, risk, wast}",0.01406079256707918,0.2866568551370446,1460.09432964076
40,2,AR1,0.006794353426430821,9128,"{manag, risk, wast}",0.01406079256707918,0.4832126918889749,1460.09432964076
41,3,AR1,0.0032358165626351107,9128,"{manag, risk, wast}",0.01406079256707918,0.2301304529739805,1460.09432964076
42,1,AR1,0.0044901228176582285,9149,"{sediment, deposit, eros}",0.009206784118951887,0.4876971980276421,776.477146102508
43,2,AR1,0.00471666130129366,9149,"{sediment, deposit, eros}",0.009206784118951887,0.512302801972358,776.477146102508
44,3,AR1,0.0,9149,"{sediment, deposit, eros}",0.009206784118951887,0.0,776.477146102508
45,1,AR1,0.00113056396721434,9152,"{site, differ, peat}",0.0015913741821204114,0.7104325179562302,533.2894162157401
46,2,AR1,0.000460810214906071,9152,"{site, differ, peat}",0.0015913741821204114,0.2895674820437698,533.2894162157401
47,3,AR1,0.0,9152,"{site, differ, peat}",0.0015913741821204114,0.0,533.2894162157401
48,1,AR1,0.091121544561719,9157,"{atlant, north, circul}",0.13511535378831152,0.6743981494840425,519.853131590784
49,2,AR1,0.0400647158725307,9157,"{atlant, north, circul}",0.13511535378831152,0.2965223029745462,519.853131590784
50,3,AR1,0.003929093354061821,9157,"{atlant, north, circul}",0.13511535378831152,0.02907954754141136,519.853131590784
51,1,AR1,0.0176513404538121,9159,"{trend, station, observ}",0.020644573575583,0.8550111432036992,917.090910436922
52,2,AR1,0.00284691759731485,9159,"{trend, station, observ}",0.020644573575583,0.1379014968215178,917.090910436922
53,3,AR1,0.00014631552445605,9159,"{trend, station, observ}",0.020644573575583,0.007087359974783014,917.090910436922
54,1,AR1,0.0256272057902446,9161,"{gas, coal, greenhous}",0.03892339619070408,0.6584010723186853,866.6459263537171
